"","X","business_id","star_gym","class","equipment","service","facility","price","popularity"
"51",51,"-SgEbEOt0TCYPsYvuYaMJA",4.5,0,-0.1,0,0,-0.1,3
"52",52,"-X86oemmB8P1PSQM0qRzLQ",5,-0.2,NA,NA,NA,0.2,1.5
"53",53,"-x9GqJToAQXS768LxE-RSg",5,-0.1,0,NA,NA,0,2
"54",54,"0_NtF9_O-CFHL_GyCzpTNg",2.5,-0.1,0,0,0,0,4
"55",55,"0-ED8FgFOFRPpzFZ_TSxWw",5,0.1,-0.1,NA,0.1,NA,1.5
"56",56,"00-JMAUuA9g4Gm1bwWVveQ",3.5,0,NA,0,NA,0.1,1.5
"57",57,"018cTTbqnGQ3hE-5yeb-Zw",5,0,-0.1,NA,0,0.1,1.5
"58",58,"040lA62YaIP1MsSn93Elvg",3.5,0,0,0,0,-0.1,1.5
"59",59,"08Oe7eBasd6rKkVXviyVjA",3.5,0,0,0,0,-0.1,3
"60",60,"09ntF29KjbdmVkXc2MqNpQ",4.5,-0.2,0,0,-0.1,-0.1,1.5
"61",61,"0aMxJf2-FeBhaNBc1sfFog",4.5,-0.1,NA,NA,0,0.1,1.5
"62",62,"0b5siQl77vmUOZA8TIiJ3Q",3.5,-0.1,-0.2,NA,0.1,0,2
"63",63,"0bwzbFmeXlgymT8PdbtRUQ",2,-0.1,0,0,-0.1,-0.1,3.5
"64",64,"0C-cm6U0K-V0ecvMtJPuFQ",5,0,0.1,NA,NA,0.1,2
"65",65,"0cDgX4s1qwbWFlHLwI1S7A",3,0,0,0,0,-0.1,3.5
"66",66,"0DadxCSu0BfdXoib_Az6Pw",2,-0.1,0,0,0,-0.1,4
"67",67,"0ebtWRY9764IqUgZRyJtsA",4,0,0.5,NA,NA,0,2
"68",68,"0g-QoLrdcWCfVBmErRmfEA",5,0,0.1,0.1,0,0.1,2
"69",69,"0gx-NjA8uZXehRTyLLxFnw",5,0.1,0.2,0,0,0.1,2.5
"70",70,"0h87NaaOj3Jn4Ypi8Xxf4w",4.5,0,0,0,-0.1,-0.1,2
"71",71,"0HlLTlgjR61v-vpC2pwMbw",5,-0.1,0,0.1,0,NA,2
"72",72,"0hROjvV1IYRSxh0V5dlpdA",4,0,0.1,0,0.1,-0.1,3
"73",73,"0HSGnyCu1H7CePtvIRP4YQ",5,0.1,-0.1,NA,NA,0,3
"74",74,"0iWoGpYXb9HFArSWLlCIVg",5,0.1,-0.1,NA,0,0.1,2.5
"75",75,"0jl7ngRgNvQg2HKWhuqgNA",4,0,NA,0,0.3,-0.1,2.5
"76",76,"0ldMLvHyIjt2MLJYwGr8GA",3,0,0,NA,0,NA,2.5
"77",77,"0marXsrP4WF4YLVLsjTWJw",5,0.2,NA,NA,NA,0,2
"78",78,"0MRKjBQ56lzstsUeLZPzVA",2.5,-0.1,0,NA,0,-0.1,2
"79",79,"0P9FjiWiFiq8C6X0QOyLgg",3.5,0,0,0,0,0,4
"80",80,"0Pgxe8hFTmqi34oHBRUA8Q",5,0.2,NA,NA,0.1,0.1,1.5
"81",81,"0QBAHLXr38DbMiG4reyetg",4,0.1,0,0.2,0,-0.1,2.5
"82",82,"0s3AP-Wp42aKD1t5wWS3wg",4.5,0,0,NA,0,0,2
"83",83,"0U1Tfb-tmNyfMrAoRFvtqA",4.5,0,-0.1,NA,-0.1,0.1,2.5
"84",84,"0uiH3HxGXn5ARtNGNnG6fw",3,-0.1,-0.1,0,-0.1,0,3
"85",85,"0vkYkUB21fdwNnK3up96sA",5,0.1,0,NA,0.1,0,2.5
"86",86,"0xTYRLhX7McIB3yXPdI51A",5,0,0.1,NA,-0.1,0,3
"87",87,"0YfpDZdiKzoR3fn_Vc3uEw",3.5,0,0,0,0,0,2.5
"88",88,"0YxyMoWTEvfAq54vCHjGww",3,0,0.1,-0.1,0,-0.1,2
"89",89,"1_PwHDb59WKaWa61C6Ty5g",5,-0.1,0.1,NA,0.1,-0.1,1.5
"90",90,"1-ve1ptHdIcX-2WxsIarpg",4.5,0.1,0.1,0.1,0,0,3.5
"91",91,"12j60XoeNhPJexicJoC88w",5,0,0,NA,0.1,0.1,2.5
"92",92,"16nno20vC6wbFa0gKNTDBQ",5,0,NA,0,NA,0.1,1.5
"93",93,"176m69x9VAafDX8DE3sIPw",4,0,0.1,0,0.1,0,2.5
"94",94,"17fNCG-S_bxNPue_qRreQQ",4.5,0,0,NA,-0.1,0,2
"95",95,"1aIA15U0i7JZ9adSCuUdqw",4.5,-0.1,NA,0,0,-0.1,1.5
"96",96,"1AUZAdFFRxszQ_3zaNYkdQ",4,0,0,0,0,0,2.5
"97",97,"1bF2jmjUotAIHRQ9Trl-og",5,0.2,-0.1,NA,0.2,-0.1,1.5
"98",98,"1DB748J2WM2nrpCngvtdcQ",3,0,0,0,0,0,4
"99",99,"1dBQkhd4zgh1EaX58JzOHw",5,0,0,0,0,0,3
"100",100,"1Gy6Unn3h8F8DxHIBbhl2A",4,-0.1,0,0.1,0,0.1,2.5
"101",101,"1H4WbyX344koIdBTv7uAyw",3.5,NA,NA,0,-0.1,0.1,1.5
"102",102,"1IhvJwYuixUUXFL0PUb0YA",4.5,0,0,0.1,0.1,0.1,3
"103",103,"1ikEP351CyJr6p_vBUSxvA",3.5,0,0,0,0,0,3.5
"104",104,"1jWyr6wm4jNLi9bZDLzCKw",3,-0.2,-0.1,0,0,0,2
"105",105,"1l6UDfzSNlmNW-F800x7PQ",4.5,0,0.1,0,0,0,3.5
"106",106,"1M5SWlhPLNmEYUmZRwsekg",5,0.1,0,NA,NA,0.1,1.5
"107",107,"1oONbkQVH72AmAUtt9MD-Q",4.5,0,0,0.1,0,0,4.5
"108",108,"1P0gza0EoFe-mQ026yyqWw",4.5,0,NA,NA,0,0,1.5
"109",109,"1p2bfq4k-tY8Ea9JuolUmw",4.5,0,-0.1,-0.1,0,0.1,4
"110",110,"1pJhQPbdFv9nH1vm_v8qVg",5,-0.1,0,NA,0,NA,1.5
"111",111,"1PREnaCQ1ENiU2LAeEFLGA",4.5,0,0,0,0,0.1,2.5
"112",112,"1QyTQxsQGri85sjM_SjnYg",5,0,0,NA,0,0.1,2
"113",113,"1rhmhJMlc0TeSKVHmRw70A",5,0.2,-0.1,0,NA,0,2
"114",114,"1rxZvv2TifbhP8quCREvMg",4.5,0.1,0.2,NA,0.4,0.1,2.5
"115",115,"1sNp2h8SYxzJyGRRxzEHTA",3.5,-0.1,0,-0.1,NA,-0.1,2
"116",116,"1sogJ82VZ8RYof9a3R0cYw",5,0.3,NA,0.1,0.2,NA,1.5
"117",117,"1vznBdnq3e_82VmWlfmCdg",3.5,0.1,0.1,0,0,0,3
"118",118,"1wEXzJxuftp4Ltsr1XiMAA",4.5,-0.1,0,NA,0,0.2,1.5
"119",119,"1wRRFVjziht0pD0eAg5_ZA",3,-0.1,-0.2,0,-0.1,0,1.5
"120",120,"1wuKlAFy4uzP5o2qReCV-w",5,0,NA,NA,NA,0,2
"121",121,"1ZCY_U2mQLonC5_qOBTmAQ",2.5,-0.1,-0.1,0,NA,NA,1.5
"122",122,"1zPegJwBIcGUmjrQmygL_A",4,0,0,NA,0,0,2.5
"123",123,"20lVthUtxBbiqwXKrdkkPw",5,0,-0.1,NA,0,-0.1,1.5
"124",124,"210J3hQ5r3wxCU8_7KAQSg",5,0,NA,NA,0.1,0.1,1.5
"125",125,"25inG3VyQX9it7gSsH2_SA",3.5,0,0,-0.1,0,0.6,2.5
"126",126,"26hH1cWm0R_zcUbFrorZ0g",2,-0.1,0,0,-0.1,0,4
"127",127,"2AvsUkxdE8rT7iobYsw5ew",3,-0.1,0,0,0,0,3
"128",128,"2aX5FiLLu3Ws7bD4suvJRg",2.5,-0.1,0,0,-0.1,-0.1,4.5
"129",129,"2Baj9mAiVa2ihklPhU9PaQ",5,0.2,0,NA,0,-0.1,1.5
"130",130,"2bN4BkrzCNN2J4PjWNLhzA",4.5,0.1,0,0,0,-0.1,2.5
"131",131,"2Fu2y2WbLsovLVfQSRglYA",2.5,-0.1,0,0,0,0,3
"132",132,"2G5q6ngT1_SDT63wNQGpzg",3.5,0.1,-0.1,0,0,0,2
"133",133,"2GHrfXA6bIE1osG66vDf1A",3,0,0.2,NA,-0.1,-0.1,1.5
"134",134,"2ghzxipRtt5HkSpPwWkFCQ",4.5,0,0,NA,0,-0.1,2
"135",135,"2HEGEScREWLpcOvWBjhTig",2.5,-0.1,0,0,0,0,3.5
"136",136,"2I1wK2tG06Nbf9nyWwSYMg",3.5,0,0,0,0,0,2.5
"137",137,"2IlZpiMiO1m2sQj5zOLIBg",4.5,0.1,0.1,NA,NA,0.1,2
"138",138,"2iY4hYUJg8lqEFWOrX2vLg",2.5,-0.1,0,0,0,-0.1,5
"139",139,"2Je1Qx_df8EIQX1dgzQI4A",1.5,-0.2,0,0,0,0,1.5
"140",140,"2JfV6yrTUAU3KZGv9ztF5g",4.5,0.1,0,0.1,0.1,0,2.5
"141",141,"2jGuIwULg_bOlNJceBA1yg",4,0,0,-0.1,0,-0.1,2
"142",142,"2jtbgEqhxrpXAZUUnM6sfQ",4,0,NA,NA,NA,-0.1,1.5
"143",143,"2jTXer-J0s1GQq4wSUrb6g",3.5,-0.1,0.1,0,0,0,2.5
"144",144,"2K9i950zor9kz1MTNlGbng",2.5,-0.2,-0.1,0,-0.1,0,2.5
"145",145,"2LC28WfAfmBaMSGiOHUHLw",3,-0.1,0.3,0,NA,0,1.5
"146",146,"2LsszSmwJNAKhlx9U3s8XA",4.5,0.1,0.1,0,-0.1,0,2.5
"147",147,"2N3HOOKKAvaD91w2e_kgdQ",4.5,0,0,-0.1,0,0,2
"148",148,"2TcGO8YoVAN8LZhp-hXDXA",3,-0.2,0,0,0,0,2
"149",149,"2U2uZi8WMiZfKY31jrPhqQ",3.5,0.2,NA,0,0,NA,1.5
"150",150,"2xO3e0H3xc_6ibi1Og3fSw",4,0,0,0,0,0.1,3.5
"151",151,"2zpiseQYD5k0YtmKylCLrg",3,-0.1,-0.1,0,0,0,2.5
"152",152,"3_u0CYYreKXGxrz0c_IZYA",2.5,0,-0.1,0,0,-0.1,2.5
"153",153,"301DJJhcZw6w6HLjJC_veQ",4,-0.1,0,0,0,0,3
"154",154,"308e96BuskBscVyOEbm3og",3.5,0,-0.1,0,0,0,3
"155",155,"31zE4-H1TB99tVPBoZ1Jqg",3.5,0.2,0.2,NA,0,-0.1,1.5
"156",156,"339umkJ60P-HZQJx8lY3Dw",4,0.1,-0.2,-0.1,0,0,2.5
"157",157,"36vEQnjc-WIN8XidzRiEvA",3,-0.1,-0.1,-0.1,NA,0,2.5
"158",158,"37iu4T2Iy1X8uUsNytKm9Q",2.5,-0.1,0,0,0,0,2
"159",159,"37jNprFs5eS7sHwqllcSrA",4,0,0,0,0,0,3.5
"160",160,"38A6EzOb_hajUQmbVAwr2w",4.5,0,0.2,0,0.1,0,2
"161",161,"3c95ZblzWP8cgZ_fiOPseg",3,0,-0.1,0.1,-0.1,-0.1,2.5
"162",162,"3dpsVahpZnRgK3qK62kVZQ",3,-0.1,-0.1,0,0,0,3
"163",163,"3DR0GPmH9F6anvc-p3wpOQ",4.5,0,-0.2,0,-0.1,0,2.5
"164",164,"3HzY-S3oIeYzaNuyfQ8oXA",3.5,0,-0.1,-0.1,0,0.1,2
"165",165,"3Ig13ySQKqzjom-D2296zg",3,-0.1,-0.1,0,0,0,4
"166",166,"3InwNVH7eM8IbOhHCbZ32Q",4.5,0,0.1,0,0,0,2.5
"167",167,"3iTzZt-kAzVAl81GUBW05w",3.5,-0.1,0,0,0,-0.1,3
"168",168,"3mWcru8ma6WALuRVb3BrJw",2.5,-0.1,0,0,0,0,4
"169",169,"3NUarylc4kPv8W8T-Hywrw",5,0.1,NA,0,0,0.1,3
"170",170,"3p0N7XAKKkfbr_ivlgKirQ",4.5,0.1,0,NA,0.1,0.1,3
"171",171,"3PmBH9aRAIR34YV1KbL20Q",5,0,0,0,0.1,0,4
"172",172,"3QW_3esGj-cAXnvmX_ZdrQ",3,-0.1,0,0,0,0,3
"173",173,"3r_1xgT5hYJR2XU5xjNIBA",4.5,0,-0.1,0,NA,0.1,3
"174",174,"3R1O9seZBrxXNU9ABEZZWg",2.5,-0.1,0,0,0,0,4.5
"175",175,"3rUIT6x3NfcW9ok-cjNDug",4,0,0,0,0,0,3
"176",176,"3sGBku0CjzrnYfgNnMvX3Q",4.5,0,NA,NA,NA,0,2
"177",177,"3TavT7ttQ8Mxpp6kyRXoNA",5,0.1,0,NA,NA,0.1,2.5
"178",178,"3uDPhomf9Ik_CebjtpCcvQ",2.5,-0.1,-0.1,0,0,0,4
"179",179,"3uG93wSCndmMo3qk3AqRCg",3,-0.1,-0.1,0,-0.1,-0.1,3
"180",180,"3VewkbWKxcvH4DHfibl6DA",4.5,0,0,0,0,0.1,3
"181",181,"3WE3c7MgOu0smpdEPx6xEw",5,0.1,-0.1,NA,0,0,2
"182",182,"3xH64SL0FXaJUwMpH_VRSw",3,0,0,0,0,0,4
"183",183,"3xRqfPFuQJ2ur2wL--3BWA",4.5,0.1,0,0,0,0.1,2
"184",184,"3YuxsU-ZXzniBPyGCgZWbg",4.5,0,NA,0,0.2,0,2
"185",185,"3yzymas77SOW9JB4b7s0Rg",5,-0.1,-0.1,0.1,-0.1,-0.1,2.5
"186",186,"4_F3387vl16fn-2QMJwk8w",4,-0.2,0,0.2,0,0.2,1.5
"187",187,"4_HUDm0P_qovDYVS2jhr8w",4.5,0,NA,NA,NA,0.2,2
"188",188,"415wKXUdG6T-u23wNf4-pw",5,0,NA,NA,NA,-0.1,1.5
"189",189,"41du5xyuNELmFq_c-lVwdw",5,0,0,0,0,0,3
"190",190,"41MJAMO7OUoSaJYCjim9iA",4,0,0,NA,0,0,2.5
"191",191,"42RjEVzSpynxsMu28c75nQ",4,-0.1,-0.1,0.1,0,NA,1.5
"192",192,"43iHfx9bwXIwYxNavOMo_w",3.5,0,0,0,0,0,3
"193",193,"43valZRSUl4hcupufknvXg",3.5,-0.1,0,0,0,0,2
"194",194,"43xbVPf7g4BrbyD6MoF0VQ",4,0,0,-0.1,NA,-0.1,2
"195",195,"45F8P84RalHXl3N0-IapQw",5,0,-0.1,0,-0.1,0,2.5
"196",196,"45g5EK6IXre6yBMtPQLwcw",4.5,0,0,0,0,0.1,2.5
"197",197,"46j2mErBjuYFFxDTE2D8yA",5,0,NA,NA,-0.1,0.2,2
"198",198,"46mJQ6YW0mLgYjZBwRzqqg",3,-0.1,0,-0.1,-0.1,-0.1,2.5
"199",199,"46Y3ORPhrIhWoPbEqnFCyA",2.5,0,0,0,0,-0.1,3
"200",200,"48FXauN10h9ttQM53zkZsQ",1.5,-0.2,-0.1,-0.1,0,-0.1,2.5
"201",201,"48RxmFAkA5tB-svpVjiWNw",4.5,0.1,0.1,0,0,0,2.5
"202",202,"49XYPtju4qg_jbHIKEH71A",3.5,-0.1,0,0,0,NA,2
"203",203,"4aGyZ7XEnFqQ1EFk1wFvqw",5,-0.1,-0.1,NA,-0.1,0.1,1.5
"204",204,"4AQe5bO53UEpNhbIMsx5oQ",2.5,-0.1,0,0,0,0,3.5
"205",205,"4B9DDG9iFU2j664uMG-K0g",5,0,NA,NA,NA,0,1.5
"206",206,"4DCrvfQknJyl6zlPviuzKg",5,0,0,NA,0,0,2.5
"207",207,"4GEXw6nrKq5fv3r4mTO1mg",3,-0.1,NA,-0.1,-0.1,-0.1,2.5
"208",208,"4ifG4fzdtwMbslU4h4zqPw",4.5,0,-0.1,0,-0.1,-0.1,3
"209",209,"4JZyA9qkUI-9kSv-aBqiDw",3,-0.1,0,0,0,-0.1,4
"210",210,"4kAe3VYRtV23J8RQc5986g",5,0,0.2,-0.1,0,0.1,3
"211",211,"4nFo2wDs8iq80-gVS33hnQ",3,-0.1,0,0,0,-0.1,4
"212",212,"4oBU8ioa4Rawu1NfO1brRw",5,0.1,0.1,NA,-0.1,0.1,2
"213",213,"4ohQCl-amIBpwWqE7igOjw",2,-0.1,0,0,-0.1,-0.1,3
"214",214,"4OkD5-Rdh5TOClDli2snAg",2,-0.1,-0.1,0,-0.1,0,3
"215",215,"4PrnF8cz1No7ewsIT42nmg",5,0,-0.1,0.2,0,0,1.5
"216",216,"4RB2OzSXV8Mi-Tebah68jA",4.5,0,0.1,0,0,0,3
"217",217,"4RiHFaNfpuymsbwoL0szPg",5,0.1,0,NA,0,0,2.5
"218",218,"4RTf6IxK4EISWa2w-akoKw",4,0,0,-0.1,-0.1,-0.1,1.5
"219",219,"4SrGzLCG0-w1GjknoVaNdg",3,NA,-0.1,NA,NA,0.1,1.5
"220",220,"4sximMXa4HkXyZtmwIlyFQ",4.5,0.1,0,NA,0,0.1,2
"221",221,"4T2KotkrWYI4sMKH882-Iw",5,0,0,NA,0,0,3
"222",222,"4tzXRnqxfhddQ8DNJvvDKA",4.5,0.1,0.1,NA,0,0,4
"223",223,"4U7yahWVjfNV-zdbOGUqIw",5,0,0.1,0,0,0.1,3.5
"224",224,"4Vc_xuryqAwYmreoluV89A",4,0.1,0.1,0,0,-0.1,2.5
"225",225,"4vNW0BgfEJc9llczjHDmTw",4.5,0,0,NA,NA,0.2,2.5
"226",226,"4wZ_VOSTsepidvdcgaFVPw",5,-0.1,NA,NA,NA,0.1,3
"227",227,"4XdvMfQxxTmpH5q7oCgT0g",2.5,0,0.1,0,0,0,3
"228",228,"5-hufGp8Fu7baNPTQBZCfA",4,0,0,0,0,-0.1,3
"229",229,"515aQgY0EDp7pPfhJuKTuQ",4,0.1,0,0,0,0,3
"230",230,"51jecEbypEKWlq57ZO18vA",3,0.2,0,0,-0.1,0,2
"231",231,"52bg0seuEjxnlbXzpcsYwQ",4,0,0.1,NA,0,-0.1,1.5
"232",232,"589n3LlJF_zYRRXq8h8bog",2.5,0,0,0,0,0,3.5
"233",233,"58rTS-d5ch_tRxsPjcBemQ",5,0,0,0,0,0,1.5
"234",234,"59W3lH0v5wvY8V8xD4UOEw",5,0,0.2,NA,NA,0,1.5
"235",235,"5biI8b92mx7ARRG-XqpcoQ",2.5,-0.1,0,0,0,-0.1,3
"236",236,"5bLGtTyLDYn03ZJZLQRRyQ",4.5,0.1,-0.1,NA,-0.1,NA,2
"237",237,"5dI02YPC1dw3lERxerDN1w",3,0,0,0,-0.1,0,1.5
"238",238,"5ettluf3HmLGXY32i97pwA",4.5,0,-0.1,0,0,0.1,2
"239",239,"5fNDeJwKDF4KQux2MoYbRQ",3.5,-0.1,0,0,0,-0.1,2
"240",240,"5hwY8qDdhFbuejUTBWoajA",4.5,0.1,0.1,0.1,0,0,3
"241",241,"5IjmR-5lFF4AX9E-56V-7g",5,0,NA,NA,0,0,1.5
"242",242,"5IWiax4f5_WrOYsecL_b8Q",3.5,-0.1,-0.1,0,0,-0.1,3
"243",243,"5j8Lh6_tH5RunqEhLc15Yw",4.5,0.2,0,NA,-0.1,0.1,2
"244",244,"5jitzfkhcUNB_B3XJIM6Bg",3.5,0,-0.1,-0.1,0,-0.1,3
"245",245,"5Mbctt6PyiGkuGsw6F3Ofw",5,0.1,0,NA,0,0,2.5
"246",246,"5mlWNPiZacAgjjNHaV-y6w",4.5,0,-0.1,0,0,0,4
"247",247,"5MZJfem_ZcX61v11C_0MrQ",4,0.1,-0.1,NA,-0.1,0.1,2
"248",248,"5ojWh3KKSKQCCC1z6DjE2w",4.5,0.1,NA,NA,NA,0,2.5
"249",249,"5Qt0Zo4z6pGLFfscU5gS3w",2,-0.1,-0.1,0,0,-0.1,3
"250",250,"5RmOkcxERTmvSQ3rSzaDtA",5,0.1,0.1,NA,0,0,3
"251",251,"5VtSkRkijikFqD5cOcQw1A",4,0,-0.1,0,-0.1,NA,2
"252",252,"5YOpJKOCaljo2FMLMSR-CQ",3.5,0,-0.1,0.1,0,0,2.5
"253",253,"5zaUY5jG8iwyiLzuHqq1dA",5,0,0,NA,NA,0.1,2
"254",254,"5ZzrNNwkhtgDCN5GNVYZUQ",5,0,0,0,0,0,2
"255",255,"6_dhU8mb5nGoA9iPDUnsCA",3.5,-0.1,-0.2,NA,0,-0.2,1.5
"256",256,"65LEymhT7STL3pcBH0GB7A",2.5,-0.1,0,0,0,-0.1,3.5
"257",257,"69onghNxWi5R_fP_ppERew",4.5,0.1,0.1,0,0.1,-0.1,3
"258",258,"6BBnEZALH192F18wTQQEGg",4,0,0,-0.1,0,0,3.5
"259",259,"6bDNhgAObO2F5ejgYj1QpA",4.5,0.1,0,0.1,0,0.1,3
"260",260,"6cT6SFTZTBVH1ZJj0R4xLA",4.5,0.1,-0.1,0.1,0,0,3
"261",261,"6dgF_q073P-i0sReaWJdIQ",1.5,-0.2,-0.1,-0.1,-0.1,0,1.5
"262",262,"6DZ9u5864fiQhGLc1dwFAQ",4,-0.1,NA,NA,-0.1,-0.1,1.5
"263",263,"6DZrhSb1t06iQMnudVBldg",3,-0.2,0,NA,-0.1,0,1.5
"264",264,"6eEb5rjwI0U9looo5wuaGQ",4.5,0,0,NA,0.1,-0.1,2
"265",265,"6EO_fm_GEnwdhIzIKaaQ7A",5,0,NA,NA,NA,-0.1,1.5
"266",266,"6evR6i3KIvU_9lY86IKRIw",1,-0.2,NA,0,NA,0,2
"267",267,"6fiZiMpNoccdhzAQghFojA",3.5,0,0,0,0,0,4.5
"268",268,"6g-itF4cWNrKJvwHdvarVg",5,0,-0.2,NA,-0.1,0,2.5
"269",269,"6hOQqQa5yK9son4ZKUKoFg",4.5,0,0,0.1,0,0,3.5
"270",270,"6hsMrZhGiDnktVw_mK8uiw",3.5,0,0,0,0,0,3.5
"271",271,"6K0BxGshBD5JeSKEV6vfrw",4.5,0,0,NA,NA,0.1,2.5
"272",272,"6KvEc9w5EJd3X-oUBRhIpQ",4,0,0,0,0,0,3
"273",273,"6lK3gmVvy575HqRlzfUT9A",5,0,0,NA,0,-0.1,1.5
"274",274,"6lRjo3yC6e9lgtGPpGfy4g",4.5,0.1,NA,NA,-0.2,0,2.5
"275",275,"6lwSCDr63O5F0sB7z_cf5Q",4.5,0,NA,0,NA,0,2
"276",276,"6MJSmjgteM7Y0LJrcAS-3g",3.5,-0.1,0,0,0,NA,1.5
"277",277,"6O3naVAWpkMIuOTK3_UA4g",3.5,0,0,0,0,0,4.5
"278",278,"6OOKT3_MEU6iklABUnvU4w",3.5,-0.1,0,0,-0.1,0,3.5
"279",279,"6PXIHCBqb7Odpv72COOoEQ",5,0,-0.1,NA,0.1,0.1,3.5
"280",280,"6Rjp2lhWe5t9hsOmyoSJOA",4.5,0,NA,NA,0.1,0,2
"281",281,"6SvBTfpQ-FuiJIXvDbHlcQ",3.5,0,0,0,0,0,3.5
"282",282,"6Tjd64RoIG10UIOZKmG39w",5,0.1,0,NA,NA,NA,1.5
"283",283,"6uf4Nk-jfM9WBgNjnK8dkg",3.5,-0.1,0,0,0,0,3
