"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","status","newaddress","dogs","parking","wifi"
"32","B9tVB_evGB9TkiDsLtuflQ","Alliance Physical Culture","6700 Manchaca Rd","Austin","TX","78745",30.2064,-97.8071,5,7,1,"Fitness & Instruction, Gyms, Health & Medical, Physical Therapy, Active Life, Trainers","blue","TX, Austin, 6700 Manchaca Rd",NA,"False",NA
"33","7cy6ygUMqnPmnHDt7dn9Mw","K Fit Studio","2725 SE Ash St","Portland","OR","97214",45.5216,-122.6377,5,23,1,"Trainers, Fitness & Instruction, Cardio Classes, Active Life, Boot Camps, Gyms","blue","OR, Portland, 2725 SE Ash St","False","True",NA
"34","1P0gza0EoFe-mQ026yyqWw","F45 Training Westlake","3201 Bee Caves Rd, Ste 134","Austin","TX","78746",30.2721,-97.8007,4.5,5,1,"Fitness & Instruction, Active Life, Trainers, Interval Training Gyms, Circuit Training Gyms, Gyms","blue","TX, Austin, 3201 Bee Caves Rd, Ste 134",NA,"False",NA
"35","7W-9CMjLApRU2kwGUxHyCg","Ironhouse Fitness","2652 S Cobb Dr SE, Ste G","Smyrna","GA","30080",33.8887,-84.5374,4.5,7,1,"Gyms, Active Life, Fitness & Instruction, Trainers","blue","GA, Smyrna, 2652 S Cobb Dr SE, Ste G",NA,"False",NA
"36","kSQnlISWra-mCG0dnzXWCg","Btone Fitness Lexington","1726 Mass Ave","Lexington","MA","02420",42.4471,-71.2269,4.5,51,1,"Boot Camps, Fitness & Instruction, Health & Medical, Active Life, Pilates, Gyms","blue","MA, Lexington, 1726 Mass Ave",NA,"True",NA
"37","NWrPoZLAyJS_-ghMazSBMg","My Path Wellness","16099 SE McLoughlin Blvd","Milwaukie","OR","97267",45.4058,-122.6253,5,8,1,"Weight Loss Centers, Massage, Fitness & Instruction, Gyms, Acupuncture, Nutritionists, Health & Medical, Massage Therapy, Trainers, Beauty & Spas, Boot Camps, Active Life","blue","OR, Milwaukie, 16099 SE McLoughlin Blvd","False","True","u'no'"
"38","TDFybbDTCHIJikrVHPAZbg","BTB Fitness","696-A Cleburne Ter","Atlanta","GA","30306",33.7733,-84.3537,4.5,18,0,"Active Life, Fitness & Instruction, Gyms","black","GA, Atlanta, 696-A Cleburne Ter",NA,"False",NA
"39","oEfKLq9N8b4k-otRl6Xhtw","X3 Sports","1092 Huff Rd","Atlanta","GA","30318",33.7896,-84.4221,4,79,1,"Active Life, Amateur Sports Teams, Boxing, Boot Camps, Trainers, Martial Arts, Gyms, Fitness & Instruction","blue","GA, Atlanta, 1092 Huff Rd",NA,"True",NA
"40","y1WeMCv-I16fbGLivgI-nQ","Club Green Meadows","7703 NE 72nd Ave","Vancouver","WA","98661",45.6768,-122.5974,2.5,16,1,"Golf, Active Life, Recreation Centers, Fitness & Instruction, Gyms, Beauty & Spas, Arts & Entertainment, Amateur Sports Teams, Massage, Professional Sports Teams, Tennis","blue","WA, Vancouver, 7703 NE 72nd Ave",NA,"True",NA
"41","e4wZ8kCTyAxqktH7dQbF-A","TruFusion South Austin","4211 S Lamar Blvd","Austin","TX","78704",30.2332,-97.7923,4.5,36,1,"Pilates, Gyms, Fitness & Instruction, Active Life, Yoga, Boot Camps","blue","TX, Austin, 4211 S Lamar Blvd","False","True",NA
"42","hTBGfuyny23_TN1mnowL3Q","Planet Fitness","9919 NE Hazel Dell Ave","Vancouver","WA","98685",45.6938,-122.6677,3,48,1,"Fitness & Instruction, Trainers, Gyms, Active Life","blue","WA, Vancouver, 9919 NE Hazel Dell Ave","False","True",NA
"43","c_AklIo5EGOLa0WXWl2yVA","Anytime Fitness","2 1st Ave, Suite 126","Peabody","MA","01960",42.5195,-70.9758,5,7,0,"Gyms, Trainers, Active Life, Fitness & Instruction","black","MA, Peabody, 2 1st Ave, Suite 126",NA,"True",NA
"44","49XYPtju4qg_jbHIKEH71A","Norwell Athletic Club","412 Washington St","Norwell","MA","02061",42.1589,-70.8572,3.5,9,1,"Spin Classes, Pilates, Gyms, Active Life, Fitness & Instruction, Yoga, Sports Clubs","blue","MA, Norwell, 412 Washington St","False","True",NA
"45","301DJJhcZw6w6HLjJC_veQ","Snap Fitness","7110 SE Milwaukie Ave","Portland","OR","97202",45.4728,-122.6486,4,24,1,"Active Life, Fitness & Instruction, Gyms","blue","OR, Portland, 7110 SE Milwaukie Ave",NA,"False",NA
"46","Yk49sqLZP1vI8GWUdIZDZA","Orangetheory Fitness","5975 Roswell Rd, Ste A 113","Atlanta","GA","30328",33.9187,-84.3783,4.5,45,1,"Interval Training Gyms, Health & Medical, Boot Camps, Trainers, Fitness & Instruction, Active Life, Gyms, Weight Loss Centers","blue","GA, Atlanta, 5975 Roswell Rd, Ste A 113",NA,"True",NA
"47","fe1N0hHcJtw9Psxb9Xxwrg","Müv Fitness","10718 SE 82nd Ave","Happy Valley","OR","97086",45.4459,-122.5775,3,72,0,"Gyms, Health & Medical, Nutritionists, Trainers, Boot Camps, Yoga, Weight Loss Centers, Active Life, Fitness & Instruction","black","OR, Happy Valley, 10718 SE 82nd Ave",NA,"True",NA
"48","PoSfG_X6SrWU8Jo6DYPk-Q","Hedrick Training","321 W Ben White, Ste 105","Austin","TX","78704",30.2237,-97.7674,5,6,1,"Fitness & Instruction, Gyms, Trainers, Active Life","blue","TX, Austin, 321 W Ben White, Ste 105",NA,"True",NA
"49","MZ2bZdWH1uhhapS788_WTg","Unique Physique","1500 NW 18th, Ste 107","Portland","OR","97209",45.5338,-122.6892,5,6,0,"Fitness & Instruction, Active Life, Boot Camps, Circuit Training Gyms, Gyms, Boxing, Interval Training Gyms, Trainers","black","OR, Portland, 1500 NW 18th, Ste 107",NA,"True",NA
"50","gb7fkL4Ypi7MXU-kIBzQWA","Roper YMCA Family Center","100 Windermere Rd","Winter Garden","FL","34787",28.5436,-81.5596,4,11,1,"Fitness & Instruction, Child Care & Day Care, Active Life, Gyms, Sports Clubs, Local Services","blue","FL, Winter Garden, 100 Windermere Rd",NA,"True",NA
"51","aHSZDdaT7AAGYcfqnXbGUA","Fitness World","1214 Howe St","Vancouver","BC","V6Z 1R5",49.2774,-123.1276,2.5,5,1,"Active Life, Fitness & Instruction, Gyms","blue","BC, Vancouver, 1214 Howe St",NA,"False",NA
"52","A4XBEv6mgBB8NWYKHz1d0g","Human Performance Specialist","364 Boylston St, Fl 4","Boston","MA","02116",42.3515,-71.0716,5,8,1,"Active Life, Trainers, Fitness & Instruction, Gyms, Health & Medical","blue","MA, Boston, 364 Boylston St, Fl 4","False","True",NA
"53","v-YTcIDa44bs7o6MHhEmnQ","Club Funtology","10 Micro Dr","Woburn","MA","01801",42.4717,-71.1365,4.5,7,0,"Amusement Parks, Arcades, Nightlife, Cardio Classes, Active Life, Indoor Playcentre, Recreation Centers, Fitness & Instruction, Arts & Entertainment, Venues & Event Spaces, Gyms, Event Planning & Services, Team Building Activities, Adult Entertainment","black","MA, Woburn, 10 Micro Dr","False","True",NA
"54","1pJhQPbdFv9nH1vm_v8qVg","Anytime Fitness","6565 Gunpark Dr, Ste 160","Boulder","CO","80301",40.0711,-105.2007,5,5,1,"Yoga, Trainers, Fitness & Instruction, Active Life, Gyms","blue","CO, Boulder, 6565 Gunpark Dr, Ste 160",NA,"False",NA
"55","WEY__jNgnmEjW97mzaoeFQ","iLoveKickboxing","45 Riverside Ave","Medford","MA","02155",42.4177,-71.1082,4.5,9,1,"Active Life, Kickboxing, Boxing, Gyms, Fitness & Instruction, Boot Camps, Martial Arts","blue","MA, Medford, 45 Riverside Ave",NA,"True",NA
"56","kF-jPF56pJUyW1FdOuQ4cA","CrossFit","7315 N Fessenden St","Portland","OR","97203",45.5945,-122.7386,5,5,1,"Gyms, Trainers, Active Life, Interval Training Gyms, Fitness & Instruction","blue","OR, Portland, 7315 N Fessenden St",NA,"False",NA
"57","IFARaCpUpSHaoxPa7UbczA","Rogue Training Garage","0521 SW Taylors Ferry Rd","Portland","OR","97219",45.4687,-122.673,4.5,7,1,"Gyms, Fitness & Instruction, Active Life, Trainers, Boot Camps","blue","OR, Portland, 0521 SW Taylors Ferry Rd","True","True",NA
"58","1p2bfq4k-tY8Ea9JuolUmw","Impact Strong","10516 Manchaca Rd, Ste 100","Austin","TX","78748",30.1668,-97.8293,4.5,78,0,"Active Life, Boxing, Gyms, Trainers, Fitness & Instruction, Martial Arts","black","TX, Austin, 10516 Manchaca Rd, Ste 100",NA,"True",NA
"59","A9ZZRybTyuUT3B9SOvB7gg","CrossFit","100 Holton St","Brighton","MA","02135",42.3605,-71.1379,4.5,12,1,"Fitness & Instruction, Trainers, Active Life, Interval Training Gyms, Gyms","blue","MA, Brighton, 100 Holton St",NA,"False",NA
"60","nRTOEnHcVbPSYGsmr7iuiw","CrossFit","20203 SW 95th Ave","Tualatin","OR","97062",45.3748,-122.7785,5,14,1,"Boot Camps, Beauty & Spas, Gyms, Yoga, Challenge Courses, Fitness & Instruction, Trainers, Active Life, Sports Clubs, Cardio Classes, Weight Loss Centers, Batting Cages, Interval Training Gyms, Health & Medical, Massage","blue","OR, Tualatin, 20203 SW 95th Ave","False","True",NA
"61","bVtbhSnI8B0pKoQhVPASwQ","iLoveKickboxing","2264 W Henderson Rd","Columbus","OH","43220",40.059,-83.0788,3.5,15,1,"Martial Arts, Fitness & Instruction, Active Life, Kickboxing, Gyms, Boot Camps","blue","OH, Columbus, 2264 W Henderson Rd",NA,"False",NA
"62","NdZdfpNMFNMqngQfntoAUw","Precision Personal Training","1012 Washington St, Ste 120","Vancouver","WA","98660",45.6293,-122.673,5,8,1,"Fitness & Instruction, Active Life, Gyms, Trainers","blue","WA, Vancouver, 1012 Washington St, Ste 120",NA,"False",NA
"63","JNpWM54zSeKX094YLD3GeA","Mountains' Edge Fitness","693-K S Broadway St","Boulder","CO","80305",39.9825,-105.2494,4.5,17,0,"Fitness & Instruction, Reflexology, Active Life, Health & Medical, Yoga, Gyms, Trainers","black","CO, Boulder, 693-K S Broadway St",NA,"False",NA
"64","NC3aYVJT8hTloxrugUh8_w","CrossFit","1210 Spring St NW","Atlanta","GA","30309",33.7878,-84.3895,3.5,9,1,"Active Life, Gyms, Fitness & Instruction, Interval Training Gyms","blue","GA, Atlanta, 1210 Spring St NW",NA,"False",NA
"65","tJWBo9-KKoBtgaTtcLjfSg","Champion Physical Therapy and Performance","110 Clematis Ave","Waltham","MA","02453",42.3834,-71.2008,4,5,1,"Health & Medical, Fitness & Instruction, Boot Camps, Trainers, Active Life, Physical Therapy, Gyms","blue","MA, Waltham, 110 Clematis Ave","False","True","u'free'"
"66","zALtet8NddMpIldbwjSYzA","Arena District Athletic Club","325 John H McConnell Blvd, Ste 150","Columbus","OH","43215",39.9679,-83.008,5,17,1,"Barre Classes, Yoga, Trainers, Active Life, Gyms, Boot Camps, Fitness & Instruction","blue","OH, Columbus, 325 John H McConnell Blvd, Ste 150",NA,"True",NA
"67","-gUcrHCUeM5XYhrTJ9xf9g","Workout Boston","1 Davis Sq","Somerville","MA","02143",42.3964,-71.1227,5,5,0,"Gyms, Fitness & Instruction, Active Life, Trainers","black","MA, Somerville, 1 Davis Sq",NA,"False",NA
"68","gJ0-pwczdGfeeXqZ_oTsAg","CTX Fitness","5043 Edgewater Dr, Ste 1100","Orlando","FL","32810",28.6067,-81.4077,4,6,0,"Active Life, Fitness & Instruction, Gyms, Trainers, Boot Camps","black","FL, Orlando, 5043 Edgewater Dr, Ste 1100",NA,"False",NA
"69","QxUVzln7g5ehHPtVy2hOng","24 Hour Fitness","10616 Research Blvd","Austin","TX","78759",30.3973,-97.7476,2.5,170,1,"Trainers, Active Life, Fitness & Instruction, Gyms","blue","TX, Austin, 10616 Research Blvd","False","True",NA
"70","-X86oemmB8P1PSQM0qRzLQ","TK Stretching","3944 Ranch Rd, Ste 620 Bldg 6","Bee Cave","TX","78738",30.3091,-97.9474,5,6,1,"Fitness & Instruction, Trainers, Active Life, Gyms","blue","TX, Bee Cave, 3944 Ranch Rd, Ste 620 Bldg 6",NA,"False",NA
"71","8oyqm936llPPq21UDR6ybg","Planet Fitness","175 William F McClellan Hwy","East Boston","MA","02128",42.3855,-71.0158,2.5,37,1,"Tanning, Active Life, Beauty & Spas, Trainers, Fitness & Instruction, Gyms","blue","MA, East Boston, 175 William F McClellan Hwy",NA,"True",NA
"72","mwx3QaBbq1dj7R22TCwqIg","Planet Fitness","944 Middle St","Weymouth","MA","02188",42.1936,-70.9492,3,59,1,"Tanning, Active Life, Gyms, Beauty & Spas, Fitness & Instruction, Trainers","blue","MA, Weymouth, 944 Middle St",NA,"True",NA
"73","PWEiZBUNtN59URgwDSDIAA","CrossFit","191 Watertown St, Ste 2","Watertown","MA","02472",42.362,-71.1939,5,11,0,"Fitness & Instruction, Gyms, Active Life","black","MA, Watertown, 191 Watertown St, Ste 2",NA,"False",NA
"74","1DB748J2WM2nrpCngvtdcQ","LA Fitness","755 Brookhaven Ave NE","Brookhaven","GA","30319",33.8721,-84.3346,3,127,1,"Yoga, Active Life, Trainers, Gyms, Sports Clubs, Fitness & Instruction","blue","GA, Brookhaven, 755 Brookhaven Ave NE",NA,"True",NA
"75","GDhy7bKe3Oc2YCaC6Qb1mg","Rep1 Fitness","3313 West Broadway","Vancouver","BC","V6R 2B1",49.2646,-123.1784,5,6,1,"Trainers, Fitness & Instruction, Gyms, Active Life, Massage, Beauty & Spas, Massage Therapy, Health & Medical","blue","BC, Vancouver, 3313 West Broadway",NA,"False",NA
"76","ozt5bIBfuH3Hwglu3HHBgg","Carl E. Sanders Family YMCA at Buckhead","1160 Moores Mill Rd NW","Atlanta","GA","30327",33.8313,-84.4252,4,23,1,"Gyms, Summer Camps, Local Services, Active Life, Child Care & Day Care, Swimming Pools, Fitness & Instruction","blue","GA, Atlanta, 1160 Moores Mill Rd NW",NA,"True",NA
"77","HGjEL7S21GkvzLZFl4P4BQ","Huntington Avenue YMCA","316 Huntington Ave","Boston","MA","02115",42.3407,-71.0874,3.5,73,1,"Gyms, Swimming Lessons/Schools, Specialty Schools, Active Life, Local Services, Fitness & Instruction, Child Care & Day Care, Education","blue","MA, Boston, 316 Huntington Ave","False","True",NA
"78","1wRRFVjziht0pD0eAg5_ZA","Boston Sports Clubs","194 Newbury St","Peabody","MA","01960",42.5442,-70.9866,3,5,0,"Gyms, Active Life, Trainers, Sports Clubs, Fitness & Instruction","black","MA, Peabody, 194 Newbury St",NA,"False",NA
"79","3xRqfPFuQJ2ur2wL--3BWA","CorePower Yoga","14 W Millay Aly","Columbus","OH","43215",39.975,-83.0036,4.5,12,1,"Active Life, Gyms, Fitness & Instruction, Yoga","blue","OH, Columbus, 14 W Millay Aly",NA,"True",NA
"80","QDildmMVh06BPAR1jl6dHg","24 Hour Fitness","850 West Osceola Pkwy","Kissimmee","FL","34741",28.3388,-81.4112,2.5,26,0,"Gyms, Active Life, Fitness & Instruction, Trainers","black","FL, Kissimmee, 850 West Osceola Pkwy",NA,"False",NA
"81","Zj0w1hw9rOghK7oDOtCTTA","Planet Fitness","3831 W Vine St","Kissimmee","FL","34741",28.3065,-81.4433,3.5,20,1,"Active Life, Gyms, Beauty & Spas, Tanning, Fitness & Instruction","blue","FL, Kissimmee, 3831 W Vine St",NA,"True",NA
"82","uEnLLlCI2shnbhTpWL1Wlg","Blue Sky Strongbox Personal Training","705 Orland Blvd","Austin","TX","78745",30.2163,-97.7778,5,9,1,"Fitness & Instruction, Active Life, Gyms, Trainers","blue","TX, Austin, 705 Orland Blvd",NA,"False",NA
"83","zFYK4c5LLlHrVXhkLClTYA","Boston Sports Clubs","140 Great Plain Ave","Wellesley","MA","02482",42.2942,-71.2684,2,69,1,"Active Life, Trainers, Amateur Sports Teams, Gyms, Fitness & Instruction, Sports Clubs","blue","MA, Wellesley, 140 Great Plain Ave",NA,"True",NA
"84","Be0D7oe-ilROznLDt605Xg","Central Rock Gym","127 Smith Pl","Cambridge","MA","02138",42.3939,-71.1506,4,23,1,"Yoga, Climbing, Gyms, Active Life, Rock Climbing, Fitness & Instruction, Kids Activities","blue","MA, Cambridge, 127 Smith Pl",NA,"True",NA
"85","6yfVcQIe9hGKJdJlZjHvCA","CorePower Yoga","7497 SW Bridgeport Rd","Tualatin","OR","97224",45.394,-122.7539,4.5,26,1,"Fitness & Instruction, Active Life, Gyms, Yoga","blue","OR, Tualatin, 7497 SW Bridgeport Rd",NA,"False",NA
"86","bFK5UvSa0ra8rMQjQ86Z9Q","LA Fitness","2999 E Colonial Dr","Orlando","FL","32803",28.5552,-81.3466,2.5,93,1,"Sports Clubs, Gyms, Trainers, Fitness & Instruction, Active Life, Yoga","blue","FL, Orlando, 2999 E Colonial Dr",NA,"True",NA
"87","7nhwunPn4sLmb76SvPX1dQ","Worthington Community Center","345 E Wilson Bridge Rd","Worthington","OH","43085",40.1065,-83.0049,4.5,15,1,"Leisure Centers, Adult Education, Swimming Pools, Summer Camps, Sports Clubs, Active Life, Specialty Schools, Recreation Centers, Gyms, Dance Studios, Art Schools, Fitness & Instruction, Education, Public Services & Government","blue","OH, Worthington, 345 E Wilson Bridge Rd",NA,"False",NA
"88","vp_a6b9V-TyFBlB6lpzbzA","LA Fitness","1400 NW Northrup St","Portland","OR","97209",45.5314,-122.6856,3,193,1,"Trainers, Fitness & Instruction, Gyms, Active Life, Yoga, Sports Clubs","blue","OR, Portland, 1400 NW Northrup St","False","True",NA
"89","BC8vo1hPyUxbpxnieYp7ew","Matt Dishman Community Center & Pool","77 NE Knott St","Portland","OR","97212",45.5422,-122.6648,4,30,1,"Active Life, Gyms, Swimming Pools, Fitness & Instruction, Beaches, Leisure Centers, Recreation Centers","blue","OR, Portland, 77 NE Knott St",NA,"True",NA
"90","9Ti_KZxO7oNjCPethbmkYw","Philthy Fitness Pdx","5224 NE 42nd Ave","Portland","OR","97218",45.5608,-122.6201,5,20,1,"Gyms, Life Coach, Fitness & Instruction, Martial Arts, Boot Camps, Trainers, Active Life, Interval Training Gyms, Professional Services","blue","OR, Portland, 5224 NE 42nd Ave",NA,"True",NA
